job_title,company_name,job_location,salary_range,job_posted,description,Ratings
"Associate Digital Product Management, Consumer Banking",Amex,"New York, NY","$60,000 - $110,000 ","
 30+ days ago","Experience in new product development, product management, or similar role.
Support overall product management efforts including tracking project status,…",4.1
"Manager, Technical Product Management - Remote",UnitedHealth Group,"Remote in New York, NY 10002","$85,000 - $167,300 ","
 13 days ago","6+ years of experience in a product management role.
Each Technical Product Manager may lead across multiple smaller product squads – each composed of product…",3.6
Sr. Director Product Management,Warner Bros. Discovery,"New York, NY 10010 
(Flatiron area)","$197,050 - $365,950 ","
 2 days ago","12+ years of product management experience.
Collaborates with partner product teams, marketing, analytics and CS teams to source feedback and opportunities for…",4.0
Manager - Network Strategy and Product,Mastercard,"New York, NY 10011 
(Flatiron area)","$142,000 - $220,000 ","
 16 days ago","Strong organizational and workstream management skills.
The role is part of the global Network Strategy and Product team and will collaborate with cross…",4.0
Product Owner - Middle and Back Office,Federal Reserve Bank of New York,"Hybrid remote in New York, NY","$161,300 - $184,000 ","
 24 days ago","Provides specialized expertise on strategy, product management, industry, and/or technology to advance ambitious and clear strategy within product domain.",4.1
Product Management Associate,Warner Bros. Discovery,"New York, NY","$74,000 - $100,000 ","
 16 days ago",Experience with or a willingness to learn product management skills including Agile development and software architectural concepts.,4.0
"Staff, Product Management",ACLU,"New York, NY 10010 
(Flatiron area)","$109,900 - $204,100 ","
 1 day ago","4 or more years of product management experience.
8+ years of software product management, product marketing, and/or operations experience, preferably in a fast…",4.3
Product Manager,Meta,"New York, NY 10004 
(Financial District area)","$122,576 ","
 30+ days ago","Work closely with leadership to justify product roadmap decisions and overall product strategy choices.
Collaborate with other product leaders to create and…",4.1
Product Management Director,Apple,"New York, NY","$244,000 - $317,000 ","
 30+ days ago","Define and analyze metrics that inform the success of products.
Attract, build, manage, and develop a talented, diverse, equitable and inclusive team of product…",4.1
"Product Management Leader, Ad Platforms",Northwell Health,"New York, NY","$58,500 - $79,300 ","
 7 days ago","8+ years of product management experience building ML software products.
You will need to understand the world of ML, optimization systems development, and data…",3.9
Associate Product Services & Management Analyst,Ralph Lauren,"Lake Success, NY 11020","$170,880 - $256,320 ","
 30+ days ago","Assists in the analysis, verification, tracking and development of implementation plans for system development and implementation of project access.",3.8
"Product Management Associate, Polo Women's Wovens",Citi,"New York, NY","$63,000 - $120,000 ","
 16 days ago",Secure on time delivery methodologies by aligning/leveraging lead times for added buy flexibility and product planning to start ship.,3.9
Product Management Lead,Ralph Lauren,"Jersey City, NJ 07310 
(The Waterfront area)",0,"
 3 days ago","Demonstrated talent management skills, including the ability to identify and develop product management talent.
Create and drive a Product Management Framework.",3.8
"Head of Product Management & Sourcing, RL Home",BNY Mellon,"New York, NY",0,"
 30+ days ago","Superior product savvy and commercial acumen.
Validate, evolve, and manage the Home product calendar.
The Sourcing Strategy will be a critical enabler of the…",3.5
"Specialist, Product Management",0,"New York, NY",0,"
 4 days ago",Researches and supports product profitability by pricing for the assigned product or product line in order to achieve operating plan revenue goals.,0
Rates Digital Product Manager - Vice President,"JPMorgan Chase Bank, N.A.","New York, NY","$142,500 - $200,000 ","
Today",Identify & create the appropriate metrics to track the success of product release and the overall strength of the business.,3.8
"Product Manager, Global Omnichannel Fulfillment (Ship From Store)",The Estée Lauder Companies,"New York, NY","$96,500 - $162,500 ","
 1 day ago","6+ years work experience in management consulting, product management, ecommerce operations, or similar.
The Product Manager, Ship from Store, maintains and…",4.0
"Product Analytics Manager, Ad Tech",Paramount,"Hybrid remote in New York, NY 10036","$120,000 - $145,000 ","
Today","The ideal candidate will have interests and experience in product, analytics, and will be using insights to help innovate in our Advertising and Monetization…",3.5
"Field Digital Marketing Product Owner, Senior Associate",New York Life Insurance Co,"Hybrid remote in New York, NY","$90,000 - $135,000 ","
 1 day ago","Experience must include sales and marketing enablement product management.
Manage day-to-day platform and operations, e.g. supporting back-end processes and…",3.7
Sr. Director Product Management,Warner Bros. Discovery,"New York, NY 10010 
(Flatiron area)","$197,050 - $365,950 ","
 2 days ago","12+ years of product management experience.
Collaborates with partner product teams, marketing, analytics and CS teams to source feedback and opportunities for…",4.0
"Staff, Product Management",Warner Bros. Discovery,"New York, NY 10010 
(Flatiron area)","$109,900 - $204,100 ","
 1 day ago","4 or more years of product management experience.
8+ years of software product management, product marketing, and/or operations experience, preferably in a fast…",4.0
Product Management Lead,Citi,"Jersey City, NJ 07310 
(The Waterfront area)","$170,880 - $256,320 ","
 3 days ago","Demonstrated talent management skills, including the ability to identify and develop product management talent.
Create and drive a Product Management Framework.",3.9
J.P. Morgan Wealth Management - Account Opening Product & Experience - Associate,"JPMorgan Chase Bank, N.A.","New York, NY","$80,750 - $129,000 ","
 2 days ago",2-5 years of product management or business analyst experience with a strong analytical background; project management experience a plus.,3.8
